Gene name	Adrenal gland	Appendix	Brain	Colon	Duodenum	Endometrium	Esophagus	Fallopian tube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymph node	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivary gland	Small intestine	Smooth muscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinary bladder
FADS3	2288873.063	843878.7087	853790.6783	0	51572.8756	0	37552.12949	92956.31685	798653.68	0	15341305.47	0	0.00	0	0	747230.5835	0	15737324.88	0	969150.6775	0	70040.52672	77819.4801	0	0	0	0	165315.8803	1127097.082
FAF1	18942813.55	9615288.104	30159554.85	26107642.93	12050382.65	13896990.15	18143852.57	16603158.24	6481540.00	12926927.51	22061770.92	18166197.04	13878101.81	11588772.82	17764000.05	26557008.43	22533998.89	9068370.096	18756555.47	17455741.14	17569913.62	15205533.1	13727420.66	14337855.52	20940598.42	20964246.75	20634424.93	28983456.96	9095098.096
FAF2	110750950	16306061.51	98025628.42	32923321.18	37396325.79	48362668.9	27451066.88	61112291.23	50459102.55	33495754.77	56617636.52	61470887.81	72071935.13	56704305.04	52533457.93	78721489.2	169173581.9	106874785.1	69095973.95	57721843.72	71253256.11	38459313.01	50010605.42	39682549.62	58599930.33	134336008.7	135052379.9	35760269.6	47943475.02
FAH	347827516.4	48157461.41	85581818.3	71424636.26	76561567.16	38871137.88	123337111.6	114245450.3	695535658.50	35847409.52	56150920.61	730367128.4	1880478722.00	115963647.7	43063613.64	37893058.57	26115674.04	56438791.34	67874013.7	75799533.33	176901378.5	76924430.32	122077528.1	59990746.12	28457260.9	121664744	220457741.3	25456488.49	53472536.39
FAHD1	660094552.6	2975989644	232858915.1	485542492.6	598719590.3	528782115.9	74839112.07	55650408.03	20357889.02	148181640.1	354204476.90	897436219.9	886625649.20	141900523.6	67872405.81	928128968.7	162039551.7	86980934.61	578204515.2	277740826.2	127738252.7	652926067.1	290225925.6	68410398.32	615591294.7	776170146.5	434245921	38315805.04	1352278153
FAHD2A	248662108.5	15937343.67	453189540.8	71450644.46	278016141.7	147236753	80467711.43	93121674.28	164832983.20	82738335.87	614590525.10	375011157.8	1758144673.00	118593224.5	62854197.72	95229308.13	149593963.5	55740831.24	89790921.76	32689639.43	1854136840	208600852.7	146687306.1	62320720.05	110495309.2	208523981.9	591767479.8	33538781.28	32135070.98
FAHD2B	1496273.269	0	1486794.542	480356.1516	1952807.124	1897776.955	0	1252582.554	0.00	0	2558894.90	4251047.658	0.00	635087.6643	2945862.476	0	0	0	0	0	3839339.567	0	0	358637.5594	2524033.702	0	0	0	0
FAIM	18184176.58	6480216.116	22988101.76	4235817.813	7199896.316	8883425.229	5632739.8	62117155.63	40420680.62	8867942.707	0.00	6201456.941	2867074.69	6168600.728	453402.7794	0	0	1512227.949	9205671.394	6028781.743	3219218.655	1537327.746	8653847.26	0	10776416.87	8916243.52	2559288.187	3841392.202	13559087.64
FAIM2	1629210.582	0	136679160.8	0	0	4379631.841	0	0	0.00	0	0.00	0	0.00	0	0	0	0	0	5920985.239	7979926.927	0	0	0	0	0	1111715.83	0	0	0
FAM101A	7919768.08	0	0	20387368.87	0	0	4183668.08	0	0.00	899706.8509	0.00	0	0.00	9237337.586	1116852.226	0	0	0	66196.04496	2445981.626	359008.896	21258840.9	0	0	113925458.6	20698.60642	0	0	14068204.72
FAM101B	0	1084273.04	0	0	0	0	1269520.276	0	5635721.84	581398.7059	0.00	0	944016.02	172199.3221	0	1362191.031	0	5532171.444	0	714787.0165	0	0	0	0	0	0	3016415.45	0	0
FAM102A	2910452.973	1653651.017	2444072.44	962486.9804	2992809.665	3580044.183	913920.831	3826879.788	140599.23	2084533.907	728283.98	431600.534	830197.96	673206.1756	3429316.394	997215.6261	777598.4961	4175720.919	208641.6971	1235380.92	3393758.486	4891808.695	2152895.102	1591704.72	9357818.332	3982691.791	469704.5085	3539701.207	1376750.139
FAM102B	308177.4303	0	2118742.415	1182929.422	1515055.698	1059130.805	3597080.281	231106.0921	0.00	1950125.686	0.00	0	0.00	667381.0763	0	2168039.86	362974.4598	1600140.254	134686.3826	1105476.756	902325.8423	761524.5799	205362.6163	275483.7905	1775853.228	375546.2609	0	1142201.511	1957010.579
FAM103A1	10813842.53	56282838.33	40360015.49	466816.5888	15554159.82	18396655.4	29248173.8	49384633.3	8522566.57	11051342.63	24963208.49	8032282.101	1335159.15	65865723.09	49512778.91	13248907.23	0	16567607.77	27438529.61	1798205.892	9074997.782	11156451.18	51650869.52	22842086.59	27698919.77	63987678.8	23355955.83	5248434.667	66672997.19
FAM104A	0	0	0	0	0	0	0	1646960.031	0.00	0	0.00	0	0.00	0	1742675.488	0	0	0	0	0	0	0	0	0	0	0	0	2497114.647	0
FAM105A	7537837.069	10340594.92	216317.8559	0	18720550.24	3512088.759	372248.7609	710146.5749	2245039.79	58377.25337	1106409.18	3975074.365	1263254.57	2018010.413	1293153.622	0	5407079.521	2950230.199	11033980.43	3947662.591	711373.2559	21262903.92	3267344.043	17108103	2392204.718	5494707.734	0	2618000.761	9782142.865
FAM107A	0	0	169461377.4	6127378.887	1399303.664	337152.0529	0	21211542.69	5404753.82	0	4328272.20	0	0.00	546379.1318	33854.22639	0	1494936.581	369066.9886	68736154.75	3174310.506	22870514.39	0	2126914.559	2372379.23	9065977.515	0	0	0	0
FAM107B	60637702.6	64831270.46	96564135.44	57138485.1	93244868.99	92987789.45	121203196.5	46082572.57	55158944.02	136755963.1	37972762.27	158145481.5	121756443.00	77341306.77	307173275	113230761.1	316016090.6	65565088.15	72719103.91	54480870.95	123659216.1	81492416.94	193745048.4	39747432.04	221476401.8	155241387.8	11215480.03	374275093.1	140488045.1
FAM109A	5690581.158	0	1248773.938	0	4777333.322	934164.8021	0	3187455.315	0.00	2297069.76	0.00	4074770.847	970748.82	2124711.877	618040.6816	0	203295.9434	3869390.832	0	226323.6273	0	6493273.991	3507373.234	0	4688365.253	136455.2446	240953.5293	0	164577.5696
FAM110A	0	304483.3147	0	0	178395.6091	0	0	40872.54145	0.00	0	0.00	0	0.00	214141.4176	370554.6128	0	0	725560.4731	0	0	0	380669.4211	0	353423.7938	87898.96843	0	0	0	0
